index	name	u	p	V	G	H	L
1.1.1.13.3	apprenticeship learning	0.0	0	0			
1.1.1.13.4	multi-agent reinforcement learning	0.0	0	0			
1.1.1.13.5	adversarial learning	0.372	0.335	0		1.1.1.13.5. adversarial learning	
1.1.1.14	active learning	0.0	0	0			
1.1.1.15	semi-supervised learning	0.0	0	0			
1.1.1.16	markov decision processes	0.0	0	0			
1.1.1.17	regret bounds	0.0	0	0			
1.1.1.2	boolean function learning	0.0	0	0			
1.1.1.3	unsupervised learning and clustering	0.0	0	0			
1.1.1.4	kernel methods	0.0	0	0.479	1.1.1.4. kernel methods		
1.1.1.5	boosting	0.0	0	0			
1.1.1.6	bayesian analysis	0.0	0	0			
1.1.1.7	inductive inference	0.0	0	0			
1.1.1.8	online learning theory	0.0	0	0			
1.1.1.9	multi-agent learning	0.0	0	0			
1.1.2	database theory	0.399	0.506	3.993	1.1.2.3. data modeling; 1.1.2.4. database query languages; 1.1.2.5. database constraints theory; 1.1.2.6. database interoperability; 1.1.2.7. data structures and algorithms for data management; 1.1.2.8. database query processing and optimization; 1.1.2.9. data integration; 1.1.2.10. logic and databases; 1.1.2.11. theory of database privacy and security; 1.1.2.12.  inconsistent	1.1.2.1. data exchange; 1.1.2.2. data provenance	
1.1.2.1	data exchange	0.255	0.23	0		1.1.2.1. data exchange	
1.1.2.10	logic and databases	0.0	0	0			
1.1.2.11	theory of database privacy and security	0.0	0	0			
1.1.2.12	 inconsistent	0.0	0	0			
1.1.2.2	data provenance	0.307	0.276	0		1.1.2.2. data provenance	
1.1.2.3	data modeling	0.0	0	0			
1.1.2.4	database query languages	0.0	0	0			
1.1.2.5	database constraints theory	0.0	0	0			
1.1.2.6	database interoperability	0.0	0	0			
1.1.2.7	data structures and algorithms for data management	0.0	0	0			
1.1.2.8	database query processing and optimization	0.0	0	0			
1.1.2.9	data integration	0.0	0	0			
2	mathematics of computing	0.0	0	1.0	2. mathematics of computing		
3	information systems	0.52	0.806	12.009	3.3. world wide web; 3.4. information retrieval; 3.1.2. data structures; 3.1.3. database management system engines; 3.1.4. query languages; 3.1.1.1. relational database model; 3.1.1.2. entity relationship models; 3.1.1.3. graph-based database models; 3.1.1.4. physical data models; 3.1.1.5.1. semi-structured data; 3.1.1.5.2. data streams; 3.1.1.5.4. incomplete data; 3.1.1.5.5. temporal data; 3.1.1.5.6. uncertainty; 3.1.1.5.7. inconsistent data; 3.1.5.1. deduplication; 3.1.5.2.  transformation and loading; 3.1.5.4. data cleaning; 3.1.5.5. wrappers; 3.1.5.6. mediators and data integration; 3.1.5.7. entity resolution; 3.1.5.8. data warehouses; 3.1.5.9. federated databases; 3.2.1.2. collaborative filtering; 3.2.1.3. association rules; 3.2.1.4. clustering; 3.2.1.5. nearest-neighbor search; 3.2.1.6. data stream mining; 3.2.1.8. process mining; 3.2.1.11 text mining; 3.2.1.10. data mining tools; 3.2.1.9 sequence mining; 3.2.1.12 formal concept analysis; 3.2.1.7.1 graph partitioning; 3.2.1.7.2 frequent graph mining; 3.2.1.7.3 graph based conceptual clustering; 3.2.1.7.5 critical nodes detection	3.1.1.5.3. data provenance; 3.1.5.3. data exchange; 3.2.1.7.4 anomaly detection	
3.1	data management systems	0.399	0.506	6.31	3.1.2. data structures; 3.1.3. database management system engines; 3.1.4. query languages; 3.1.1.1. relational database model; 3.1.1.2. entity relationship models; 3.1.1.3. graph-based database models; 3.1.1.4. physical data models; 3.1.1.5.1. semi-structured data; 3.1.1.5.2. data streams; 3.1.1.5.4. incomplete data; 3.1.1.5.5. temporal data; 3.1.1.5.6. uncertainty; 3.1.1.5.7. inconsistent data; 3.1.5.1. deduplication; 3.1.5.2.  transformation and loading; 3.1.5.4. data cleaning; 3.1.5.5. wrappers; 3.1.5.6. mediators and data integration; 3.1.5.7. entity resolution; 3.1.5.8. data warehouses; 3.1.5.9. federated databases	3.1.1.5.3. data provenance; 3.1.5.3. data exchange	
3.1.1	database design and models	0.307	0.276	3.069	3.1.1.1. relational database model; 3.1.1.2. entity relationship models; 3.1.1.3. graph-based database models; 3.1.1.4. physical data models; 3.1.1.5.1. semi-structured data; 3.1.1.5.2. data streams; 3.1.1.5.4. incomplete data; 3.1.1.5.5. temporal data; 3.1.1.5.6. uncertainty; 3.1.1.5.7. inconsistent data	3.1.1.5.3. data provenance	
3.1.1.1	relational database model	0.0	0	0			
3.1.1.2	entity relationship models	0.0	0	0			
3.1.1.3	graph-based database models	0.0	0	0.307	3.1.1.3. graph-based database models		
3.1.1.4	physical data models	0.0	0	0			
3.1.1.5	data model extensions	0.307	0.276	1.842	3.1.1.5.1. semi-structured data; 3.1.1.5.2. data streams; 3.1.1.5.4. incomplete data; 3.1.1.5.5. temporal data; 3.1.1.5.6. uncertainty; 3.1.1.5.7. inconsistent data	3.1.1.5.3. data provenance	
3.1.1.5.1	semi-structured data	0.0	0	0			
3.1.1.5.2	data streams	0.0	0	0			
3.1.1.5.3	data provenance	0.307	0.276	0		3.1.1.5.3. data provenance	
3.1.1.5.4	incomplete data	0.0	0	0			
3.1.1.5.5	temporal data	0.0	0	0			
3.1.1.5.6	uncertainty	0.0	0	0			
3.1.1.5.7	inconsistent data	0.0	0	0			
3.1.2	data structures	0.0	0	0.399	3.1.2. data structures		
3.1.3	database management system engines	0.0	0	0.399	3.1.3. database management system engines		
3.1.4	query languages	0.0	0	0.399	3.1.4. query languages		
3.1.5	information integration	0.255	0.23	2.043	3.1.5.1. deduplication; 3.1.5.2.  transformation and loading; 3.1.5.4. data cleaning; 3.1.5.5. wrappers; 3.1.5.6. mediators and data integration; 3.1.5.7. entity resolution; 3.1.5.8. data warehouses; 3.1.5.9. federated databases	3.1.5.3. data exchange	
3.1.5.1	deduplication	0.0	0	0			
3.1.5.2	 transformation and loading	0.0	0	0			
3.1.5.3	data exchange	0.255	0.23	0		3.1.5.3. data exchange	
3.1.5.4	data cleaning	0.0	0	0			
3.1.5.5	wrappers	0.0	0	0			
3.1.5.6	mediators and data integration	0.0	0	0			
3.1.5.7	entity resolution	0.0	0	0			
3.1.5.8	data warehouses	0.0	0	0			
3.1.5.9	federated databases	0.0	0	0			
3.2	information systems applications	0.333	0.3	4.992	3.2.1.1. data cleaning; 3.2.1.2. collaborative filtering; 3.2.1.3. association rules; 3.2.1.4. clustering; 3.2.1.5. nearest-neighbor search; 3.2.1.6. data stream mining; 3.2.1.8. process mining; 3.2.1.11 text mining; 3.2.1.10. data mining tools; 3.2.1.9 sequence mining; 3.2.1.12 formal concept analysis; 3.2.1.7.1 graph partitioning; 3.2.1.7.2 frequent graph mining; 3.2.1.7.3 graph based conceptual clustering; 3.2.1.7.5 critical nodes detection	3.2.1.7.4 anomaly detection	
3.2.1.1	data cleaning	0.0	0	0			
3.2.1.10	data mining tools	0.0	0	0			
3.2.1.11	text mining	0.0	0	0.333	3.2.1.11 text mining		
3.2.1.12	formal concept analysis	0.0	0	0			
3.2.1.2	collaborative filtering	0.0	0	0.333	3.2.1.2. collaborative filtering		
3.2.1.3	association rules	0.0	0	0.333	3.2.1.3. association rules		
3.2.1.4	clustering	0.0	0	0.333	3.2.1.4. clustering		
3.2.1.5	nearest-neighbor search	0.0	0	0			
3.2.1.6	data stream mining	0.0	0	0			
3.2.1.7	graph mining	0.333	0.3	1.331	3.2.1.7.1 graph partitioning; 3.2.1.7.2 frequent graph mining; 3.2.1.7.3 graph based conceptual clustering; 3.2.1.7.5 critical nodes detection	3.2.1.7.4 anomaly detection	
3.2.1.7.1	graph partitioning	0.0	0	0			
3.2.1.7.2	frequent graph mining	0.0	0	0			
3.2.1.7.3	graph based conceptual clustering	0.0	0	0			
3.2.1.7.4	anomaly detection	0.333	0.3	0		3.2.1.7.4 anomaly detection	
3.2.1.7.5	critical nodes detection	0.0	0	0			
3.2.1.8	process mining	0.0	0	0			
3.2.1.9	sequence mining	0.0	0	0.333	3.2.1.9 sequence mining		
3.3	world wide web	0.0	0	0.52	3.3. world wide web		
3.4	information retrieval	0.0	0	0.52	3.4. information retrieval		
4.1	visualization	0.0	0	1.0	4.1. visualization		
5.1	artificial intelligence	0.0	0	1.0	5.1. artificial intelligence		
5.2	machine learning	0.584	0.907	6.937	5.2.2. learning settings; 5.2.3. machine learning approaches; 5.2.4. machine learning algorithms; 5.2.5. cross-validation; 5.2.1.1. supervised learning; 5.2.1.4. multi-task learning; 5.2.1.2.1. cluster analysis; 5.2.1.2.3. mixture modeling; 5.2.1.2.4. topic modeling; 5.2.1.2.5. source separation; 5.2.1.2.6. motif discovery; 5.2.1.2.7. dimensionality reduction and manifold learning; 5.2.1.3.2. inverse reinforcement learning; 5.2.1.3.3. apprenticeship learning; 5.2.1.3.4. multi-agent reinforcement learning	5.2.1.2.2. anomaly detection; 5.2.1.3.1. sequential decision making; 5.2.1.3.5. adversarial learning	
5.2.1	learning paradigms	0.584	0.907	4.602	5.2.1.1. supervised learning; 5.2.1.4. multi-task learning; 5.2.1.2.1. cluster analysis; 5.2.1.2.3. mixture modeling; 5.2.1.2.4. topic modeling; 5.2.1.2.5. source separation; 5.2.1.2.6. motif discovery; 5.2.1.2.7. dimensionality reduction and manifold learning; 5.2.1.3.2. inverse reinforcement learning; 5.2.1.3.3. apprenticeship learning; 5.2.1.3.4. multi-agent reinforcement learning	5.2.1.2.2. anomaly detection; 5.2.1.3.1. sequential decision making; 5.2.1.3.5. adversarial learning	
5.2.1.1	supervised learning	0.0	0	0.584	5.2.1.1. supervised learning		
5.2.1.2	unsupervised learning	0.333	0.3	1.997	5.2.1.2.1. cluster analysis; 5.2.1.2.3. mixture modeling; 5.2.1.2.4. topic modeling; 5.2.1.2.5. source separation; 5.2.1.2.6. motif discovery; 5.2.1.2.7. dimensionality reduction and manifold learning	5.2.1.2.2. anomaly detection	
5.2.1.2.1	cluster analysis	0.0	0	0			
5.2.1.2.2	anomaly detection	0.333	0.3	0		5.2.1.2.2. anomaly detection	
5.2.1.2.3	mixture modeling	0.0	0	0			
5.2.1.2.4	topic modeling	0.0	0	0			
5.2.1.2.5	source separation	0.0	0	0			
5.2.1.2.6	motif discovery	0.0	0	0			
5.2.1.2.7	dimensionality reduction and manifold learning	0.0	0	0.333	5.2.1.2.7. dimensionality reduction and manifold learning		
5.2.1.3	reinforcement learning	0.479	0.607	1.438	5.2.1.3.2. inverse reinforcement learning; 5.2.1.3.3. apprenticeship learning; 5.2.1.3.4. multi-agent reinforcement learning	5.2.1.3.1. sequential decision making; 5.2.1.3.5. adversarial learning	
5.2.1.3.1	sequential decision making	0.303	0.272	0		5.2.1.3.1. sequential decision making	
5.2.1.3.2	inverse reinforcement learning	0.0	0	0			
5.2.1.3.3	apprenticeship learning	0.0	0	0			
5.2.1.3.4	multi-agent reinforcement learning	0.0	0	0			
5.2.1.3.5	adversarial learning	0.372	0.335	0		5.2.1.3.5. adversarial learning	
5.2.1.4	multi-task learning	0.0	0	0.584	5.2.1.4. multi-task learning		
5.2.2	learning settings	0.0	0	0.584	5.2.2. learning settings		
5.2.3	machine learning approaches	0.0	0	0.584	5.2.3. machine learning approaches		
5.2.4	machine learning algorithms	0.0	0	0.584	5.2.4. machine learning algorithms		
5.2.5	cross-validation	0.0	0	0			
